tx_id,day,payer_id,payer_name,payee_id,payee_name,amount,requested_amount,reason,domain,good,location,note
60,1,F_00135,Moon Wasser Cooperative,P_00059,Mira Schmidt,6.078535369678815,6.078535369678815,labor_wage,labor,,Moon,Lohn; tx_tax=0.036
61,1,F_00141,Moon Gesundheit Cooperative,P_00072,Nia Singh,6.791366075377081,6.791366075377081,labor_wage,labor,,Moon,Lohn; tx_tax=0.041
62,1,F_00141,Moon Gesundheit Cooperative,P_00097,Ravi Rahman,8.003483539722884,8.003483539722884,labor_wage,labor,,Moon,Lohn; tx_tax=0.048
63,1,F_00141,Moon Gesundheit Cooperative,P_00102,Tariq Chen,5.352269768110185,5.352269768110185,labor_wage,labor,,Moon,Lohn; tx_tax=0.032
64,1,F_00141,Moon Gesundheit Cooperative,P_00104,Eva Yilmaz,5.761151427976103,5.761151427976103,labor_wage,labor,,Moon,Lohn; tx_tax=0.035
65,1,F_00141,Moon Gesundheit Cooperative,P_00039,Juri Sato,6.723696310853408,6.723696310853408,labor_wage,labor,,Moon,Lohn; tx_tax=0.040
66,1,F_00141,Moon Gesundheit Cooperative,P_00099,Sofia Nguyen,5.562630603769057,5.562630603769057,labor_wage,labor,,Moon,Lohn; tx_tax=0.033
67,1,F_00148,Orbit Gesundheit Cooperative,P_00026,Kian Novak,8.12675148978108,8.12675148978108,labor_wage,labor,,Orbit,Lohn; tx_tax=0.049
68,1,F_00148,Orbit Gesundheit Cooperative,P_00054,Ravi Rahman,8.854362452175957,8.854362452175957,labor_wage,labor,,Orbit,Lohn; tx_tax=0.053
69,1,F_00148,Orbit Gesundheit Cooperative,P_00105,Luis Ito,7.242543740898875,7.242543740898875,labor_wage,labor,,Orbit,Lohn; tx_tax=0.043
70,1,F_00148,Orbit Gesundheit Cooperative,P_00083,Mika Keller,7.9416891011826864,7.9416891011826864,labor_wage,labor,,Orbit,Lohn; tx_tax=0.048
71,1,F_00148,Orbit Gesundheit Cooperative,P_00120,Noah Keller,7.536004600059219,7.536004600059219,labor_wage,labor,,Orbit,Lohn; tx_tax=0.045
72,1,F_00148,Orbit Gesundheit Cooperative,P_00058,Sofia Mensah,7.19717638242826,7.19717638242826,labor_wage,labor,,Orbit,Lohn; tx_tax=0.043
73,1,F_00148,Orbit Gesundheit Cooperative,P_00038,Ravi Kowalski,7.491910741972093,7.491910741972093,labor_wage,labor,,Orbit,Lohn; tx_tax=0.045
74,1,F_00149,Orbit Raumfahrt Cooperative,P_00113,Ada Kowalski,10.388545857793444,10.388545857793444,labor_wage,labor,,Orbit,Lohn; tx_tax=0.062
75,1,F_00149,Orbit Raumfahrt Cooperative,P_00089,Hana Sato,8.719194296319985,8.719194296319985,labor_wage,labor,,Orbit,Lohn; tx_tax=0.052
76,1,F_00149,Orbit Raumfahrt Cooperative,P_00117,Luis Weber,8.920110297689153,8.920110297689153,labor_wage,labor,,Orbit,Lohn; tx_tax=0.054
77,1,F_00149,Orbit Raumfahrt Cooperative,P_00115,Zoe Schmidt,8.112699728017809,8.112699728017809,labor_wage,labor,,Orbit,Lohn; tx_tax=0.049
78,1,M_00150,Delta Public News,P_00086,Mika Okafor,3.5387205826035553,3.5387205826035553,labor_wage,labor,,Earth,Lohn; tx_tax=0.021
79,1,M_00150,Delta Public News,P_00060,Juri Novak,4.665748360591738,4.665748360591738,labor_wage,labor,,Earth,Lohn; tx_tax=0.028
80,1,M_00150,Delta Public News,P_00095,Amal Hoffmann,2.358612729562504,2.358612729562504,labor_wage,labor,,Earth,Lohn; tx_tax=0.014
81,1,M_00150,Delta Public News,P_00107,Ravi Okafor,2.9974332497309106,2.9974332497309106,labor_wage,labor,,Earth,Lohn; tx_tax=0.018
82,1,M_00150,Delta Public News,P_00111,Lina Sato,3.3350541003225502,3.3350541003225502,labor_wage,labor,,Earth,Lohn; tx_tax=0.020
83,1,M_00153,Earth Commons Daily,P_00112,Iris Ito,5.405629695825145,5.405629695825145,labor_wage,labor,,Earth,Lohn; tx_tax=0.032
84,1,M_00153,Earth Commons Daily,P_00035,Amal Sato,3.952918806239253,3.952918806239253,labor_wage,labor,,Earth,Lohn; tx_tax=0.024
85,1,M_00153,Earth Commons Daily,P_00068,Nia Garcia,4.1637291264230605,4.1637291264230605,labor_wage,labor,,Earth,Lohn; tx_tax=0.025
86,1,M_00153,Earth Commons Daily,P_00109,David Schmidt,3.3946608335267197,3.3946608335267197,labor_wage,labor,,Earth,Lohn; tx_tax=0.020
87,1,M_00153,Earth Commons Daily,P_00093,Tariq Chen,4.045071044748634,4.045071044748634,labor_wage,labor,,Earth,Lohn; tx_tax=0.024
88,1,M_00153,Earth Commons Daily,P_00106,Tariq Sato,4.195779800892708,4.195779800892708,labor_wage,labor,,Earth,Lohn; tx_tax=0.025
89,1,M_00153,Earth Commons Daily,P_00032,Yara Nguyen,3.3134768541643744,3.3134768541643744,labor_wage,labor,,Earth,Lohn; tx_tax=0.020
